"pair","method_code","b_fast","se_fast","pval_fast","b_native","se_native","pval_native","abs_beta_delta","abs_se_delta","abs_pval_delta","relative_se_delta"
23,"weighted_mode",-0.0375035016376719,1.60331489001455,0.9813957322089,-0.0375035016376719,1.40992637105413,0.978844503477374,0,0.193388518960416,0.00255122873152636,0.137162140471086
24,"ivw",-0.383831280981905,0.196251345286892,0.0504869775751037,-0.383831280981905,0.196251345286892,0.0504869775751039,0,1.66533453693773e-16,2.0122792321331e-16,8.48572291060348e-16
24,"egger",-0.14213054917301,0.29584771388796,0.632241367380074,-0.142130549173009,0.29584771388796,0.632241367380075,3.33066907387547e-16,5.55111512312578e-17,8.88178419700125e-16,1.87634207145776e-16
24,"weighted_median",-0.285919416534274,0.126525468596982,0.0238350588954013,-0.285919416534274,0.126951539169557,0.0243100539726991,0,0.000426070572574544,0.000474995077297782,0.00335616704895151
24,"simple_mode",-0.237953558566444,1.11273452803933,0.831204720893306,-0.237953558566444,1.01646192859921,0.815498171617234,0,0.0962725994401152,0.0157065492760722,0.0947134336578533
24,"weighted_mode",-0.237953558566444,1.09683934254763,0.828796886002123,-0.237953558566444,1.04633211400671,0.820672648954195,0,0.0505072285409105,0.00812423704792775,0.0482707429742392
25,"ivw",0.196315430921844,0.186211460484885,0.291763560952011,0.196315430921843,0.186211460484885,0.291763560952012,3.05311331771918e-16,0,8.32667268468867e-16,0
25,"egger",0.540086564549662,0.265605592157355,0.0453262327845591,0.540086564549662,0.265605592157355,0.0453262327845593,5.55111512312578e-16,5.55111512312578e-17,1.94289029309402e-16,2.08998428008891e-16
25,"weighted_median",0.0546183936573421,0.155474193968172,0.725361802540132,0.0546183936573427,0.158844263695611,0.730960073040372,6.2450045135165e-16,0.00337006972743856,0.00559827050023975,0.0212161877869039
25,"simple_mode",0.0914871445658109,1.91235219189312,0.961961428627504,0.0914871445658109,1.87002913045523,0.961101215634476,0,0.0423230614378975,0.000860212993028187,0.0226323006142662
25,"weighted_mode",0.0914871445658109,1.89907989488146,0.961695791913772,0.0914871445658109,1.82021970473605,0.960037664347493,0,0.0788601901454076,0.00165812756627925,0.0433245448009493
26,"ivw",0.130419924052934,0.113505158349854,0.250546909174014,0.130419924052934,0.113505158349853,0.250546909174014,1.66533453693773e-16,4.16333634234434e-17,4.44089209850063e-16,3.66797104455096e-16
26,"egger",0.0542136788897377,0.163715771982937,0.741400707671708,0.0542136788897377,0.163715771982937,0.741400707671707,1.38777878078145e-17,5.55111512312578e-17,2.22044604925031e-16,3.39070271354451e-16
26,"weighted_median",0.346030566487003,0.114943388052123,0.00260866543225517,0.346030566487003,0.115059538886544,0.00263488963461987,0,0.000116150834421264,2.62242023647066e-05,0.0010094846159239
26,"simple_mode",0.173734907928043,3.44391927595126,0.959890489636057,0.173734907928043,3.14492069280766,0.956080893485142,0,0.2989985831436,0.00380959615091503,0.0950734890795181
26,"weighted_mode",0.173734907928043,3.50147793904598,0.960549273307834,0.173734907928043,3.36948323519415,0.959005207107915,0,0.131994703851829,0.00154406619991965,0.0391735748892141
27,"ivw",-0.373406248201943,0.129049911669303,0.00380971200040564,-0.373406248201943,0.129049911669303,0.00380971200040565,2.77555756156289e-16,5.55111512312578e-17,1.04083408558608e-17,4.30152570530291e-16
27,"egger",-0.157438558567826,0.192968492512928,0.416993109266276,-0.157438558567826,0.192968492512928,0.416993109266275,2.4980018054066e-16,1.94289029309402e-16,1.11022302462516e-15,1.00684327674056e-15
